restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Cafe Braqa,Indiranagar,"cafe, italian, continental, beverages",700,4.1,147,medium,yes,yes,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Pizza, Cappuccino, Cheese Sticks",Delivery,Old Airport Road
Divina - Eden Park Restaurants,Jayanagar,desserts,400,4.0,147,low,no,no,Dessert Parlor,"Apple Pie, New York Cheesecake",Delivery,Basavanagudi
D'7 Feast Resto Cafe,New Bel Road,"burger, pizza, continental",600,4.1,147,medium,no,no,Casual Dining,"Mocktails, Burgers, Fish, Butter Chicken Pizza, Peri Peri Chicken Wings, Pasta, Steak",Dine-out,New BEL Road
Biryani Affair,Hsr,biryani,350,3.5,147,low,yes,no,Delivery,"Chicken Biryani, Raita, Mutton Biryani",Delivery,HSR
Frozen Bottle,Banashankari,"beverages, desserts, ice cream",400,4.2,147,low,yes,no,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel",Delivery,Jayanagar
Fresh Pressery Cafe,Koramangala 5Th Block,"cafe, healthy food, salad, beverages, desserts",1200,4.1,147,medium,yes,no,Cafe,"Salads, Chicken Sandwich, Sandwiches, Cheesecake, Spaghetti Aglio Olio, Arugula Salad, Cheese Chilli Toast",Desserts,BTM
re:cess - Hilton Bangalore Embassy GolfLinks,Domlur,"south indian, north indian, continental, european",1200,4.1,146,medium,no,yes,"Casual Dining, Bar","Coffee, Cheesecake, Paratha, Hot Chocolate, Biryani, Donut",Dine-out,Old Airport Road
Spice Up,Jp Nagar,chinese,600,3.8,146,medium,yes,no,Casual Dining,"Chicken Lollipop, Vegetable Biryani, Noodles, Chicken Noodle, Clear Soup, Hot Pot, Coriander Chicken",Dine-out,JP Nagar
Subway,Electronic City,"salad, fast food",600,3.9,146,medium,yes,no,Quick Bites,,Dine-out,Electronic City
Garma Garam,Bannerghatta Road,"north indian, chinese, biryani, rolls",350,3.2,146,low,yes,no,Quick Bites,"Chicken Biryani, Butter Chicken",Dine-out,JP Nagar
Chefkraft,Indiranagar,"continental, fast food, salad",800,3.9,146,medium,no,no,"Takeaway, Delivery","Salads, Salad, Sushi, Kung Pao Chicken, Bento Box, Nasi Goreng, Baked Yogurt",Delivery,Old Airport Road
The Hungry Yeti,Whitefield,"tibetan, nepalese",700,4.0,146,medium,no,no,Casual Dining,"Thukpa, Momos, Garlic Chicken, Sea Food, Manchurian, Vegetable Noodles, Chicken Thupka",Dine-out,Whitefield
Kirthi's Biryani,Banashankari,"chinese, cafe, italian",700,3.8,146,medium,yes,no,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",Dine-out,Jayanagar
Cafe @ Elanza,Richmond Road,"chinese, north indian, cafe",1000,3.7,145,medium,no,no,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta",Delivery,MG Road
Desi Bites,Nagawara,"rajasthani, north indian, chinese",600,3.7,145,medium,yes,no,Casual Dining,"Thali, Bati Churma, Dal Tadka, Panneer Butter Masala, Chole Bhature, Gatte Ki Subzi, Tawa Roti",Delivery,Kalyan Nagar
Polar Bear,Electronic City,"ice cream, desserts, beverages, sandwich",400,4.0,145,low,yes,no,Dessert Parlor,"Choco Fudge Brownie, Hot Chocolate, Lychee Sundae, Sandwiches, Ice Cream Pizza",Dine-out,Electronic City
Hyderabad Biryani,Whitefield,"north indian, chinese, biryani",600,3.2,145,medium,yes,no,Casual Dining,"Hyderabadi Biryani, Mutton Biryani",Dine-out,Whitefield
Halo Chef,Koramangala 4Th Block,north indian,500,3.9,145,medium,yes,no,Delivery,Biryani,Delivery,Koramangala 4th Block
Haagen Dazs,Whitefield,"desserts, ice cream",800,3.9,145,medium,yes,no,Dessert Parlor,"Coffee, Hot Chocolate, Raspberry Sorbet, Cheesecake Ice Cream, Chocolate Sundae",Desserts,Whitefield
Chung Wah,Banaswadi,"chinese, thai, momos, vietnamese",900,3.3,145,medium,yes,no,Casual Dining,"Noodles, Chowmein, Chicken Lollipop, Manchow Soup",Delivery,Kalyan Nagar
Delhi Kitchen,"Itpl Main Road, Whitefield",north indian,400,2.9,145,low,yes,no,"Takeaway, Delivery",Paratha,Delivery,Whitefield
Pizza Stop,Jayanagar,"pizza, italian",600,3.4,145,medium,yes,no,Quick Bites,"Pasta, Thin Crust Pizza, Cheesy Garlic Bread, Salsa, Brownie, Manali Pizza, Masala Garlic Bread",Dine-out,Jayanagar
De Thaali,Jayanagar,"north indian, chinese",550,3.9,145,medium,yes,no,Casual Dining,"Malai Kofta, Sandwich, Naan",Dine-out,Jayanagar
Bhairaveshwara Military Hotel,Malleshwaram,"south indian, hyderabadi",250,4.2,144,low,yes,no,Quick Bites,Biryani,Dine-out,Rajajinagar
South Tiffins,Hsr,south indian,150,3.6,144,low,yes,no,Quick Bites,"Masala Dosa, Vada, Tea, Coffee, Idli",Delivery,HSR
Rannaghar,Jeevan Bhima Nagar,"north indian, bengali, chinese",600,3.9,144,medium,yes,no,Casual Dining,"Salt Lassi, Kosha Mangsho, Luchi, Sweet Corn Veg Soup",Dine-out,Old Airport Road
Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kumaraswamy Layout,"cafe, chinese, arabian",550,3.9,144,medium,no,no,Cafe,"Lemon Soda, Wine, Coffee, Fried Rice Chicken, Chilli Chicken, Milk Shake, Oreo Shake",Delivery,JP Nagar
Empire Restaurant,Koramangala 7Th Block,"biryani, kerala, mughlai, arabian, north indian, juices",750,3.9,144,medium,no,no,Casual Dining,"Non Veg Thali, Biryani, Ghee Rice",Dine-out,Koramangala 7th Block
Ovenstory Pizza,Btm,pizza,750,4.0,144,medium,yes,no,Delivery,"Pizza, Lava Cake",Delivery,BTM
XO Belgian Waffle,Hsr,"desserts, beverages",400,4.5,144,low,yes,no,Dessert Parlor,"Waffles, Chocolate Coffee, Hot Chocolate, Caramel Coffee, Chocolate Overload, Banoffee Shake, Thick Shakes",Desserts,HSR
Banchharam,Koramangala 7Th Block,"street food, mithai",200,3.9,144,low,no,no,"Quick Bites, Sweet Shop","Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll",Desserts,BTM
Lassi Corner,Marathahalli,"beverages, desserts",300,3.7,143,low,yes,no,Beverage Shop,"Lassi, Brownie, Faluda, Kulfi, Coffee",Desserts,Marathahalli
Bella,Jayanagar,"mangalorean, seafood, south indian",1000,3.9,143,medium,yes,yes,Casual Dining,"Ghee Roast Paneer, Murgh Ghee Roast, Fish Fry, Neer Dosa, Appam, Sea Food, Chicken Sukha",Delivery,Koramangala 7th Block
New Prashanth Hotel,Jayanagar,"south indian, biryani, chinese, north indian",750,3.6,143,medium,yes,no,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",Delivery,Banashankari
Cold Stone Creamery,Malleshwaram,"ice cream, desserts",400,4.1,143,low,yes,no,Dessert Parlor,"Chocolate Devotion, Brownie, Salted Caramel",Desserts,Rajajinagar
Sai Foods,Brookefield,north indian,200,4.1,143,low,yes,no,Quick Bites,"Paratha, Gulab Jamun, Thali, Lassi, Kheer, Roti, Palak Paneer",Dine-out,Brookefield
J's Pastas and Pizzas,Old Airport Road,"fast food, italian, pizza",300,4.0,143,low,no,no,,"Pasta, Garlic Bread, Pizza, Burgers, Salad, Chicken Burger, Baked Chicken",Dine-out,Old Airport Road
Petoo,Whitefield,"north indian, fast food, street food",800,4.0,143,medium,yes,no,Casual Dining,"Biryani, Gulab Jamun, Pav Bhaji",Delivery,Whitefield
Mane Holige,Jayanagar,"mithai, south indian",200,4.3,142,low,no,no,"Sweet Shop, Quick Bites",Obbattu,Desserts,Jayanagar
The French Loaf,Frazer Town,"bakery, desserts",300,2.8,142,low,yes,no,"Bakery, Quick Bites","Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche",Dine-out,Brigade Road
Kerala Panoor Restaurant,Bellandur,"kerala, seafood, biryani, south indian",350,3.5,142,low,yes,no,Quick Bites,,Dine-out,Sarjapur Road
Via Milano,Sarjapur Road,"salad, italian, desserts, pizza",1500,4.6,142,high,no,yes,Casual Dining,"Pizza, Tiramisu, Wine, Vegetarian, Sangria, Gnocchi, Pasta",Dine-out,Sarjapur Road
Juice Land,Bannerghatta Road,"juices, beverages",300,3.9,142,low,yes,no,Beverage Shop,,Delivery,JP Nagar
Eddy's Cafe,Indiranagar,"cafe, american, salad, continental, healthy food, italian, coffee, desserts",750,4.1,142,medium,yes,no,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread",Delivery,Old Airport Road
Shri Vishnu Grand,Marathahalli,"north indian, south indian, chinese",450,3.1,142,low,yes,no,Casual Dining,"Rava Idli, Tea, Coffee, Rava Dosa, Biryani, Masala Dosa, Pav Bhaji",Delivery,Sarjapur Road
Samskruti - Sanman Gardenia,Jayanagar,"north indian, chinese, south indian",550,4.0,142,medium,yes,no,Casual Dining,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",Dine-out,Jayanagar
Patisserie Nitash,Frazer Town,bakery,500,4.2,142,medium,no,no,Bakery,"Patisserie Nitash, Brownie, Chocolate Cake, Chocolate Ganache, Macaroon, Cheesecake",Delivery,Kammanahalli
Third Wave Coffee Roasters,Hsr,"cafe, continental",800,4.1,142,medium,yes,no,Cafe,"Coffee, Latte, Waffles, Hot Chocolate, Cottage Cheese Sandwich, Pita Bread",Delivery,Koramangala 5th Block
Udupi Delux,Brookefield,"south indian, north indian, chinese",400,2.6,142,low,no,no,Casual Dining,"Ginger Tea, Roti, Dal Tadka, Naan, Rava Masala Dosa",Dine-out,Marathahalli
Mast Kalandar,Electronic City,north indian,450,2.4,142,low,no,no,Casual Dining,"Gulab Jamun, Thali, Dal Makhani, Paneer Curry, Rajma",Delivery,Electronic City
Chaatimes,Basavanagudi,"street food, fast food",200,3.9,142,low,yes,no,Quick Bites,"Dabeli, Faluda, Masala Poori, Tokri Chaat, Sandwiches, Pav Bhaji, Basket Chat",Dine-out,Basavanagudi
Kolkata Rolls & Fast Food,Hsr,"rolls, fast food",200,3.5,142,low,yes,no,"Takeaway, Delivery",,Delivery,Koramangala 4th Block
Night Food Joint,Frazer Town,"north indian, chinese",500,2.9,142,medium,no,no,Delivery,,Delivery,Frazer Town
Pizza Hut,Basavanagudi,"pizza, fast food",750,2.9,142,medium,yes,no,Quick Bites,Garlic Bread,Dine-out,Basavanagudi
Keto Kitchen,Kalyan Nagar,"healthy food, continental, north indian",700,3.8,142,medium,yes,no,Casual Dining,"Paratha, Pizza, Chicken Curry, Mushroom Soup, Momos",Dine-out,Kammanahalli
Reddy's Restaurant,Hsr,"andhra, biryani, south indian, chinese",500,3.7,141,medium,yes,no,Casual Dining,"Chicken Biryani, Mutton Roganjosh, Andhra Meal",Delivery,Koramangala 6th Block
Alter Ego D'Deli,Kalyan Nagar,"cafe, continental, italian, burger, pizza, salad, steak",650,3.8,141,medium,yes,no,Cafe,"Pizza, Burgers, Chicken Pasta, Minestrone Soup, French Onion Soup, Hot Dog, Coffee",Dine-out,Kammanahalli
Mahesh Friends Food Center,Btm,"chinese, north indian",300,2.9,141,low,yes,no,Quick Bites,Lassi,Delivery,Koramangala 7th Block
Pappu Chaiwalla,Jp Nagar,"fast food, tea, beverages",300,3.6,141,low,no,no,Quick Bites,"Tea, Chocolate Cookies, Ginger Chai, Masala Chai, Poori Bhaji, Sulemani Chai, Sandwich",Dine-out,Jayanagar
The J,Church Street,"fast food, beverages",400,4.0,141,low,yes,no,Quick Bites,"Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea",Delivery,MG Road
Brilram's Balaji Bhavan,Whitefield,"south indian, north indian, chinese",700,3.9,141,medium,no,no,Casual Dining,"Kulcha, Chole Bhature, Chaat, Paneer Tikka Masala, Coffee",Dine-out,Whitefield
Dosa Plaza,Koramangala 5Th Block,"south indian, north indian, chinese, beverages",200,3.8,141,low,yes,no,Quick Bites,Masala Dosa,Delivery,Koramangala 6th Block
Madurai Idly Shop,Whitefield,south indian,200,2.9,141,low,no,no,Quick Bites,"Coffee, Mini Idlis, Kothu Parotta, Podi Dosa, Tea, Masala Dosa, Paratha",Dine-out,Whitefield
Bangalore Agarwal Bhavan,Jayanagar,"street food, north indian, south indian",400,3.9,141,low,yes,no,Quick Bites,"Paratha, Coffee, Halwa, Lassi",Delivery,Koramangala 7th Block
Kudla Beach,Rajajinagar,"north indian, south indian, seafood, chinese",400,3.5,141,low,yes,no,Quick Bites,,Dine-out,Malleshwaram
Head's Or Tail's,Wilson Garden,"finger food, north indian, chinese",1000,4.0,141,medium,no,yes,Bar,Beer,Dine-out,Residency Road
Subway,"Itpl Main Road, Whitefield","healthy food, sandwich, salad",500,3.4,141,medium,yes,no,"Quick Bites, Food Court","Sandwich, Sandwiches, Salad, Salads, Chicken Teriyaki Sub",Delivery,Whitefield
Fillers,Btm,"north indian, fast food",300,3.9,140,low,yes,no,Quick Bites,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal",Dine-out,Koramangala 7th Block
Bawarchi Inn,Btm,"north indian, biryani, andhra, chinese",600,3.1,140,medium,yes,no,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani",Dine-out,Koramangala 7th Block
Kuttanad,Bannerghatta Road,"kerala, south indian",200,3.6,140,low,yes,no,Quick Bites,,Dine-out,BTM
Totaram's Paranthas,New Bel Road,north indian,300,3.5,140,low,yes,no,Quick Bites,"Cheese Paratha, Lassi, Pizza, Paneer Parantha",Delivery,New BEL Road
Funjabi,Church Street,north indian,600,3.5,140,medium,no,no,Casual Dining,"Mango Lassi, Butter Chicken, Manchurian, Dehati Chicken, Paneer Lababdar, Chilli Chicken, Palak Paneer",Delivery,MG Road
1441 Pizzeria,Jp Nagar,"pizza, salad",800,4.1,140,medium,yes,no,Casual Dining,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza",Delivery,Jayanagar
Faasos,Indiranagar,"north indian, biryani, fast food",500,3.9,140,medium,yes,no,Delivery,"Chicken Wrap, Rolls, Potato Wrap, Veggie Wrap, Cheesy Chicken, Thali, Kheer",Delivery,Indiranagar
Jashn Hyderabadi Bawarchi,New Bel Road,"hyderabadi, north indian, chinese, biryani",650,2.9,140,medium,yes,no,Casual Dining,"Lemon Chicken, Hyderabadi Biryani",Delivery,New BEL Road
Cafe Udupi Ruchi,Vijay Nagar,"south indian, north indian, street food",350,4.0,140,low,yes,no,Quick Bites,"Badam Halwa, Butter Masala Dosa, Filter Coffee, Neer Dosa, Pasta, Tea, Biryani",Delivery,Rajajinagar
Al-Bek,Hsr,"biryani, north indian, charcoal chicken, chinese, seafood, rolls",300,3.6,140,low,yes,no,"Takeaway, Delivery","Mutton Biryani, Chicken Biryani, Shawarma, Kalmi Kabab, Butter Chicken, Chicken Grill, Garlic Chicken",Delivery,Koramangala 6th Block
Dakshin Cafe,Jp Nagar,south indian,100,4.1,140,low,yes,no,Quick Bites,"Vada, Masala Dosa, Filter Coffee, Kesari Bath, Kharabath, Open Dosa",Delivery,JP Nagar
Indian Paratha Factory,Hsr,north indian,250,2.7,140,low,yes,no,Quick Bites,"Lassi, Liti Chokha, Chicken Keema Paratha, Buttermilk, Raita, Aloo Paratha, Chocolate Paratha",Delivery,HSR
Coastal Biryani Paradise,Rt Nagar,"north indian, chinese, biryani",500,3.9,140,medium,yes,no,Casual Dining,"Chicken Biryani, Tandoori Chicken, Sea Food, Neer Dosa, Fish, Chicken Curry, Arabian Grape Juice",Delivery,Malleshwaram
Cravings,Bannerghatta Road,"north indian, chinese, rolls",400,3.7,139,low,yes,no,Quick Bites,"Malai Kofta, Sandwiches, Aloo Paratha, Chole Bhature, Panneer Butter Masala, Kulcha, Poori Chole",Dine-out,Bannerghatta Road
The Chocolate Heaven,Old Airport Road,"desserts, cafe, italian, beverages",700,3.8,139,medium,yes,no,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle",Cafes,Old Airport Road
The Egg Factory,Hsr,"continental, american",750,4.0,139,medium,yes,no,Casual Dining,"Shakshouka, Kothu Paratha, Scrambled Eggs, Pasta, English Breakfast, Cheese Omelette, Masala Omelette",Delivery,Koramangala 5th Block
Twins,Kammanahalli,"north indian, chinese, continental",500,3.8,139,medium,no,no,"Casual Dining, Bar","Andhra Meal, Potato Wedges, Chicken Biryani, Chicken Satay, Dal Fry",Drinks & nightlife,Kammanahalli
Ghee Biryanis,Btm,"biryani, north indian",500,3.5,139,medium,yes,no,"Takeaway, Delivery",Biryani,Delivery,Koramangala 5th Block
Juice Junction,Koramangala 5Th Block,"juices, fast food, south indian, chinese",200,4.0,139,low,yes,no,"Beverage Shop, Quick Bites","Fruit Bowl, Grape Juice, Nannari Sharbat, Cheese Sandwich, Tea, Cheese Sandwiches, Orange Juice",Delivery,Koramangala 6th Block
Roll Er Dokaan,Jeevan Bhima Nagar,"street food, rolls",300,3.9,139,low,yes,no,Quick Bites,"Rolls, Paratha, Double Egg Roll",Delivery,Old Airport Road
Mugs N Burgers,Brookefield,"burger, juices, beverages, fast food, cafe, chinese, coffee",600,4.0,139,medium,yes,yes,Cafe,"Burgers, Pasta, Noodles, Shawarma, Tea, Cappuccino, Coffee",Delivery,Whitefield
Thamboola,Banashankari,"north indian, chinese, continental",800,3.8,139,medium,yes,no,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",Delivery,Jayanagar
Suryawanshi,Sarjapur Road,"maharashtrian, seafood",700,4.4,139,medium,yes,yes,Casual Dining,"Thali, Misal Pav, Chicken Chatpata, Shrikhand, Egg Curry, Puran Poli, Vada",Delivery,Sarjapur Road
Taiki,Indiranagar,"asian, japanese, korean, thai, sushi",1200,4.4,139,medium,yes,yes,Casual Dining,"Sushi, Ramen, Bibimbap, Salmon, Dumplings, Tempura, Yaki Soba",Delivery,Old Airport Road
Viceroy's Sarathi,Indiranagar,"north indian, chinese, mughlai",750,3.8,139,medium,yes,no,"Casual Dining, Bar","Sea Food, Neer Dosa, Murgh Ghee Roast, Fish, Chicken Sukha, Beer, Butter Chicken",Delivery,Old Airport Road
Rock Stone Ice Cream Factory,Btm,ice cream,250,4.0,138,low,yes,no,Dessert Parlor,"Icecream Cake, Brownie, Hot Chocolate, Waffles, Chocolate Icecreams",Desserts,BTM
Indori Chatorey,Btm,"north indian, street food",300,2.8,138,low,yes,no,Quick Bites,"Kachori, Indori Poha, Cheese Paratha, Paneer Parantha, Thali, Poha Jalebi",Delivery,Jayanagar
Kebarbiq,Koramangala 7Th Block,"north indian, arabian, mughlai, middle eastern, grill",800,4.0,138,medium,yes,no,Casual Dining,"Burgers, Pulpy Grape Juice, Chicken Wings, Pita Bread, Chicken Grill, Fish Grill, French Fries",Dine-out,BTM
The French Loaf,Indiranagar,"bakery, desserts, sandwich",400,3.5,138,low,yes,no,"Bakery, Quick Bites","Cup Cake, Almond Pie, Chicken Delight, Apple Pie, Chicken Quiche",Desserts,Indiranagar
Feast India Co.,Cunningham Road,"awadhi, bengali, north indian",1500,4.2,138,high,yes,no,Casual Dining,"Naan, Sheermal, Phirni, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab",Delivery,Residency Road
Mighty Paws,Sarjapur Road,cafe,500,4.0,138,medium,yes,no,Cafe,"Waffles, Coffee, Salads, Burgers, Pasta, Paneer Burger, Sandwiches",Cafes,Sarjapur Road
Sagar Fast Food,Koramangala 8Th Block,"south indian, north indian, street food, chinese",250,4.0,138,low,yes,no,Quick Bites,Neer Dosa,Delivery,Koramangala 5th Block
Rolls On Wheels,Jp Nagar,"fast food, rolls, momos",300,3.1,138,low,no,no,Quick Bites,"Rolls, Veg Momos, Masala Fries",Dine-out,JP Nagar
Tiffin Room - Miraya Hotel & Residences,Whitefield,"north indian, south indian, asian",2000,3.7,138,high,no,yes,Fine Dining,"Chicken Curry, Breakfast Buffet, Pasta, Fish, Salads, Lunch Buffet, Salmon",Dine-out,Whitefield
Behrouz Biryani,Bannerghatta Road,biryani,650,4.0,138,medium,yes,no,Delivery,"Gulab Jamun, Vegetable Biryani, Mint Raita",Delivery,Bannerghatta Road
Faasos,Hosur Road,"north indian, biryani, fast food",500,4.0,138,medium,yes,no,Delivery,"Veggie Wrap, Chicken Wrap, Jumbo Chicken, Rolls, Chole",Delivery,Electronic City
Maa Di Hatti,Koramangala 1St Block,north indian,500,2.8,137,medium,yes,no,Quick Bites,"Saag, Veg Thali",Delivery,Koramangala 6th Block
Hyderabad Biryaani Home,South Bangalore,"north indian, hyderabadi, chinese",650,3.0,137,medium,yes,no,Takeaway,"Chicken, Hyderabadi Biryani, Mutton Biryani",Delivery,Sarjapur Road
One For The Road,Whitefield,"continental, north indian, finger food",1200,4.1,137,medium,yes,yes,Bar,"Cocktails, Pasta, Fish",Delivery,Whitefield
Havelli - Chairman's Resort,Sahakara Nagar,"north indian, continental, chinese, seafood",1250,3.5,137,medium,yes,yes,"Casual Dining, Bar",Biryani,Delivery,New BEL Road
The Krishna Grand Xpress,Jayanagar,"south indian, fast food",350,4.0,137,low,yes,no,Quick Bites,"Vada, Masala Dosa, Idli",Delivery,Jayanagar
Just Shawarma,Bannerghatta Road,arabian,300,3.6,137,low,yes,no,Quick Bites,"Fries, Whole Meat Shawarma",Delivery,Bannerghatta Road
Asha Food Camp,Rajajinagar,"desserts, north indian, chinese",700,4.0,137,medium,no,yes,Casual Dining,"Panneer Butter Masala, Dal Fry, Butter Kulcha, Shahi Paneer, Paneer Tikka, Roti, Vegetable Biryani",Dine-out,Rajajinagar
Sri Vishnu Grand,Sarjapur Road,"south indian, north indian, chinese",400,3.8,137,low,yes,no,Casual Dining,Prompt Service,Dine-out,Sarjapur Road
Four Seasons Fast Food Center,Malleshwaram,"north indian, chinese, biryani",400,3.8,136,low,yes,no,Quick Bites,,Delivery,Rajajinagar
Biryani Paradise,Whitefield,"andhra, biryani",700,3.8,136,medium,yes,no,Casual Dining,,Dine-out,Whitefield
Hyderabadi Bawarchi,Bannerghatta Road,"north indian, chinese, biryani",500,3.2,136,medium,yes,no,Casual Dining,"Raita, Vegetable Biryani, Hyderabadi Biryani, Chicken Curry, Chicken Biryani",Delivery,BTM
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,chinese,1200,4.4,136,medium,no,yes,Casual Dining,"Chocolate Cookies, Cocktails, Fudge Sundae, Jasmine Rice, Gong Bao Chicken, Date Pancakes, Golden Fried Prawns",Dine-out,Residency Road
Pepperwood,Sarjapur Road,"biryani, rolls",300,3.7,136,low,yes,no,Quick Bites,"Rolls, Chicken Biryani",Dine-out,Sarjapur Road
Sidewalk Cafe - Nahar's Heritage Hotel,St. Marks Road,"italian, fast food",800,3.9,136,medium,no,no,Casual Dining,"Pizza, Pasta, Waffles, Sandwich, Apple Pie, Sandwiches, Burgers",Dine-out,Church Street
Savi Sagar,Malleshwaram,"north indian, south indian, chinese, street food, beverages",450,3.8,136,low,yes,no,Casual Dining,,Dine-out,Rajajinagar
Andal Mess,Indiranagar,"south indian, north indian",300,3.2,136,low,yes,no,Mess,"Chicken Kothu Paratha, Dindigul Biryani, Chicken Chukka, Plain Dosa, Mutton Biryani",Delivery,Old Airport Road
New Kabab Plaza,Btm,"north indian, chinese",500,3.7,136,medium,yes,no,Casual Dining,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice",Dine-out,JP Nagar
Akshara,Marathahalli,"south indian, kerala, andhra",1000,4.0,136,medium,yes,no,Casual Dining,"Fry Prawns, Biryani, Andhra Thali, Neer Dosa, Kokum Juice, Masala Prawn, Brinjal Curry",Delivery,Brookefield
Chicken County,Majestic,"north indian, chinese",650,3.8,136,medium,no,no,Casual Dining,"Chicken Biryani, Chicken Grill, Tandoori Chicken, Butter Chicken",Dine-out,Lavelle Road
Subway,Banashankari,"salad, fast food",600,3.7,136,medium,yes,no,Quick Bites,"Veggie Delight, Paneer Tikka, Salad",Dine-out,Banashankari
Ambur Biriyani Classic,Electronic City,"biryani, south indian, north indian",700,3.3,136,medium,yes,no,Casual Dining,,Delivery,Electronic City
Khan Saheb Grills And Rolls,Sarjapur Road,"biryani, fast food, rolls",400,3.2,136,low,yes,no,Quick Bites,"Rolls, Beda Roti, Chicken Baida Roti, Chicken Tikka Roll, Aloo Tikka Roll, Mushroom Roll",Delivery,Sarjapur Road
Chef Baker's,Bellandur,"bakery, fast food, pizza, burger",600,3.6,136,medium,yes,no,"Bakery, Quick Bites","Pasta, Apple Pie, Sandwich, Chocolate Cake, Burgers, Hot Chocolate, Donut",Cafes,Sarjapur Road
McDonald's,Basaveshwara Nagar,"burger, fast food",500,2.9,136,medium,yes,no,Quick Bites,Chaat,Delivery,Rajajinagar
The Little Chef,Hsr,"north indian, chinese",600,3.5,136,medium,no,no,Casual Dining,"Biryani, Dal Makhani, Honey Chilli Potatoes, Noodles, Butter Naan, Veg Thali",Dine-out,HSR
Bengaluru Cafe,Jayanagar,south indian,150,4.5,135,low,no,no,Quick Bites,"Vada, Kesari Bath, Idli, Coffee, Benne Masala Dosa, Kharabath, Tea",Dine-out,Jayanagar
Kollapuri's,Jayanagar,maharashtrian,600,3.6,135,medium,no,no,Casual Dining,"Biryani, Fish, Roti",Delivery,JP Nagar
Tempteys,Indiranagar,"desserts, beverages",400,4.1,135,low,yes,no,"Dessert Parlor, Beverage Shop","Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake",Delivery,Old Airport Road
Pavithra Restaurant,Jayanagar,"south indian, north indian, chinese",300,3.2,135,low,no,no,Quick Bites,"Coffee, Tomato Soup, Thali, Vada Sambar, Biryani",Dine-out,Jayanagar
Magic Oven,Electronic City,"cafe, desserts",400,4.0,135,low,no,no,"Cafe, Dessert Parlor","Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta",Desserts,Electronic City
Nakkala's Food Hunt,Marathahalli,"north indian, chinese",600,2.4,135,medium,yes,no,Casual Dining,Biryani,Delivery,Marathahalli
Global Flavors,Banaswadi,"north indian, fast food, beverages",1000,3.5,135,medium,yes,yes,Casual Dining,Pizza,Dine-out,Kammanahalli
Khan Saheb Grills and Rolls,Jayanagar,"fast food, rolls",350,3.9,135,low,yes,no,Quick Bites,"Rolls, Biryani, Mutton Seekh, Egg Roll, Chicken Tikka, Chicken Roll",Dine-out,Jayanagar
Chai Point,Residency Road,"fast food, beverages",250,4.0,135,low,yes,no,"Beverage Shop, Quick Bites","Banana Cake, Ginger Tea, Masala Chai, Samosa, Ginger Chai, Poha, Egg Puff",Dine-out,Residency Road
@ Biryani Central,Marathahalli,"biryani, mughlai, chinese, north indian",550,2.7,135,medium,yes,no,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Dal Fry",Delivery,Brookefield
Patiala Lassi,Sanjay Nagar,beverages,150,4.1,135,low,yes,no,Beverage Shop,"Punjabi Lassi, Patiyala Lassi, Sweet Lassi, Mango Lassi, Sandwich",Delivery,Malleshwaram
SS Bucket Biryani,Frazer Town,"biryani, north indian, chinese",600,3.9,135,medium,no,no,Casual Dining,"Brinjal Curry, Butter Chicken, Bucket Biryani",Delivery,Frazer Town
