restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Faasos,Koramangala 8Th Block,"north indian, biryani, fast food",500,4.0,463,medium,yes,no,Quick Bites,"Rolls, Bbq Chicken, Paneer Makhanwala, Jumbo Chicken Roll, Veggie Wrap, Sabudana Vada, Chicken Wrap",Delivery,Koramangala 4th Block
Antarastriya,Malleshwaram,"chinese, fast food, momos",200,3.9,462,low,yes,no,Quick Bites,"Pasta, Momos, Noodles, Manchurian, Peri Peri Fries, Chinese Bhel, Tacos",Dine-out,Rajajinagar
BOX8- Desi Meals,Hsr,"north indian, mughlai, fast food",500,4.2,462,medium,yes,no,"Takeaway, Delivery","Paratha, Jal-jeera, Sandwich, Dal Makhani, Biryani, Lemonade, Salad",Delivery,Koramangala 4th Block
9D Foods,Marathahalli,"north indian, street food",400,4.1,461,low,yes,no,Quick Bites,"Kheer, Paneer Chatpata, Mango Lassi, Thali, Paratha, Gulab Jamun, Buttermilk",Delivery,Marathahalli
Punjab Bistro,Koramangala 7Th Block,north indian,1500,4.4,461,high,yes,yes,"Casual Dining, Bar","Chicken Shorba, Paneer Tikka Masala, Cocktails, Jumbo Prawns, Beer, Butter Naan, Paan Shot",Pubs and bars,Koramangala 7th Block
PurpleBasil.in,Indiranagar,"healthy food, desserts",500,4.4,460,medium,yes,no,Delivery,"Pasta, Chicken Meal, Pongal, Pesarattu, Chicken Satay, Noodles, Salad",Delivery,Old Airport Road
Kabab Magic,Marathahalli,"north indian, kebab, fast food",500,3.0,459,medium,yes,no,Casual Dining,"Chicken Grill, Shawarma, Biryani, Grape Juice, Rolls, Paratha, Chicken Tikka Roll",Delivery,Marathahalli
Firewood Biryani,Residency Road,"biryani, kebab, rolls",400,3.9,458,low,yes,no,Quick Bites,"Rice Kheer, Hariyali Chicken, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni",Delivery,Residency Road
Domino's Pizza,Brookefield,"pizza, fast food",800,3.0,458,medium,yes,no,Quick Bites,"Pizza, Garlic Bread",Delivery,Brookefield
Grow Fit,Koramangala 6Th Block,"healthy food, north indian, thai",500,4.0,457,medium,yes,no,Delivery,"Pizza, Brownie, Chicken Biryani",Delivery,Koramangala 6th Block
Sharma's Malai & Masala,Koramangala 1St Block,north indian,650,4.0,457,medium,yes,no,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",Delivery,Koramangala 5th Block
China Bowl,Koramangala 6Th Block,chinese,1000,3.9,457,medium,yes,no,Casual Dining,"Noodles, Roast Pork, Biryani, Manchow Soup, Pork Ribs, Butter Garlic Prawns, Crispy Honey Chilli Chicken",Dine-out,Koramangala 5th Block
Fat Buddha,Cunningham Road,"chinese, thai",1000,4.0,457,medium,yes,yes,Casual Dining,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food",Delivery,MG Road
Memories of China - Taj MG Road Bengaluru,Mg Road,"chinese, momos",3000,4.3,457,high,no,yes,Fine Dining,"Crispy Prawns, Momos, Cocktails, Pan Fried Noodles, Chocolate Cake, Veg Dim Sums, Dumplings",Dine-out,Residency Road
Saffron - Radisson Blu,Marathahalli,"north indian, mughlai, lucknowi",2500,4.5,457,high,no,yes,"Fine Dining, Bar","Gulab Jamun, Roti, Dahi Ke Kabab, Mocktails, Dumplings, Biryani, Paneer Tikka",Dine-out,Marathahalli
Abhiruchi Hotel,Bannerghatta Road,"andhra, biryani, north indian, chinese",550,3.3,456,medium,yes,no,Casual Dining,"Egg Biryani, Chicken Curry, Chicken Boneless Biryani, Chilli Chicken, Vegetable Biryani, Jeera Rice",Delivery,JP Nagar
The Terrace at Windmills Craftworks,Whitefield,north indian,1800,4.1,456,high,no,no,Casual Dining,"Beer, Mango Lassi, Thandai, Matka Kulfi, Salads, Palak Pakoda, Lunch Buffet",Dine-out,Whitefield
Mid-Night Crunch,Hsr,"north indian, chinese",400,3.7,456,low,yes,no,"Takeaway, Delivery",Rolls,Delivery,Koramangala 7th Block
Levitate Brewery and Kitchen,Jp Nagar,"finger food, north indian, continental",1500,4.5,456,high,no,yes,"Microbrewery, Casual Dining","Wheat Beer, Salsa, Pizza, Tiramisu, Lager, Cosmopolitan, Cocktails",Drinks & nightlife,Jayanagar
Baba Da Dhaba,Koramangala 7Th Block,north indian,650,4.1,455,medium,no,yes,Casual Dining,"Dal Makhani, Phirni, Kheer, Chicken Butter Masala, Murgh Lababdar, Chicken Tikka, Paneer Tikka",Dine-out,Koramangala 7th Block
Delite Chaat House,Indiranagar,"street food, gujarati",300,4.0,454,low,yes,no,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Sandwiches, Farsan, Sandwich, Vada Pav",Delivery,Old Airport Road
Bangaliana,Koramangala 7Th Block,bengali,600,3.9,454,medium,yes,no,Casual Dining,"Sea Food, Bhetki Paturi, Chicken Dak Bunglow, Prawn, Rasgulla, Potato Curry, Mishti Doi",Dine-out,Koramangala 5th Block
Mamaji's,Electronic City,north indian,600,3.6,453,medium,yes,no,Casual Dining,"Masala Chaach, Vegetable Biryani, Paratha, Thali, Buttermilk, Sweet Lassi, Paneer Parantha",Delivery,Electronic City
Karnataka Bhel House,Basavanagudi,street food,100,4.1,453,low,no,no,Quick Bites,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",Delivery,Rajajinagar
Suryawanshi,Indiranagar,"seafood, maharashtrian",700,4.1,453,medium,yes,no,Casual Dining,"Thali, Misal Pav, Pandhra Rassa, Roti, Chicken Kolhapuri, Tamda Rassa, Kadhi",Delivery,Old Airport Road
Pizza Hut,Hsr,"pizza, fast food",750,3.1,452,medium,yes,no,Quick Bites,"Tomato Basil Soup, Mushroom Soup, Veg Supreme Pizza, Masala Lemonade, Creamy Mushroom Pasta, Garlic Bread Stick",Delivery,HSR
